Issue key,Summary,Description,Status,Priority,Severity,Component/s,Reporter,Assignee,Created,Resolved,Resolution,Labels,Issue Type,_true_label
PROJ-3018,Merge request diff viewer crashes on binary file comparison,"Found during regression testing of Search.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Resolved,Minor,Major,Search,alice.johnson,dave.brown,2025-05-25T02:00:00,2025-05-26T00:00:00,Fixed,"regression,critical",Bug,valid
PROJ-3048,Activity feed shows duplicate entries after page reconnects WebSocket,"Found during regression testing of Search.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Resolved,Minor,Trivial,Search,alice.johnson,carol.williams,2025-05-23T16:00:00,2025-06-03T00:00:00,Fixed,regression,Bug,valid
PROJ-3007,Team member invitation email contains broken unsubscribe link,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to API Gateway
3. Trigger the issue

This blocks QA testing for the current sprint.",Closed,Minor,Critical,API Gateway,frank.miller,eve.davis,2025-05-05T07:00:00,,Won't Fix,"regression,ui",Bug,valid
PROJ-3062,Two-factor authentication bypass via session cookie,"Steps to reproduce:
1. Navigate to Search
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Open,Major,Major,Search,eve.davis,bob.smith,2025-05-18T22:00:00,2025-06-12T00:00:00,Won't Fix,"regression,backend",Bug,valid
PROJ-3058,Geolocation lookup returns null for IPv6 addresses,"Steps to reproduce:
1. Navigate to User Management
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",In Progress,Minor,Minor,User Management,alice.johnson,carol.williams,2025-05-08T23:00:00,,,"regression,critical",Bug,valid
PROJ-3066,API returns 200 instead of 404 for deleted resources,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to API Gateway
3. Trigger the issue

This blocks QA testing for the current sprint.",In Progress,Minor,Critical,API Gateway,dave.brown,bob.smith,2025-05-08T02:00:00,2025-06-12T00:00:00,,,Bug,valid
PROJ-3059,Saved search query does not URL-encode special characters,"Steps to reproduce:
1. Navigate to Search
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Closed,Minor,Trivial,Search,frank.miller,carol.williams,2025-05-22T12:00:00,,,,Bug,valid
PROJ-3056,Recursive folder move endpoint allows circular reference,"Found during regression testing of Authentication.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Reopened,Major,Critical,Authentication,frank.miller,bob.smith,2025-05-24T10:00:00,2025-06-14T00:00:00,Fixed,,Bug,valid
PROJ-3084,Gantt chart milestone overlap detection incorrect for zero-duration tasks (intermittent),"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to User Management
3. Trigger the issue

This blocks QA testing for the current sprint.

(Similar issue observed independently)",Reopened,Trivial,Trivial,User Management,frank.miller,,2025-05-08T00:00:00,,Duplicate,duplicate,Bug,duplicate
PROJ-3068,Tag autocomplete does not escape HTML entities in suggestions,"Found during regression testing of Authentication.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Reopened,Trivial,Major,Authentication,dave.brown,alice.johnson,2025-05-19T05:00:00,2025-05-31T00:00:00,Fixed,"regression,ui",Bug,valid
PROJ-3037,Bulk payment import skips rows with special characters,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Reports
3. Trigger the issue

This blocks QA testing for the current sprint.",Closed,Trivial,Major,Reports,eve.davis,frank.miller,2025-05-13T02:00:00,,Fixed,,Bug,valid
PROJ-3026,Database connection pool exhausted under concurrent report generation,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Authentication
3. Trigger the issue

This blocks QA testing for the current sprint.",Reopened,Major,Trivial,Authentication,alice.johnson,dave.brown,2025-05-17T02:00:00,2025-06-12T00:00:00,Fixed,"regression,backend",Bug,valid
PROJ-3014,Comment thread collapses unexpectedly when new reply arrives,"Found during regression testing of User Management.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Resolved,Minor,Trivial,User Management,frank.miller,carol.williams,2025-05-23T00:00:00,2025-05-28T00:00:00,,"regression,backend",Bug,valid
PROJ-3035,Hotkey conflict between global search and inline cell editing,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Reports
3. Trigger the issue

This blocks QA testing for the current sprint.",Reopened,Minor,Major,Reports,carol.williams,dave.brown,2025-05-16T18:00:00,2025-06-01T00:00:00,Fixed,"regression,ui",Bug,valid
PROJ-3049,Avatar upload accepts SVG files containing embedded JavaScript,"Steps to reproduce:
1. Navigate to Settings
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Open,Trivial,Minor,Settings,carol.williams,alice.johnson,2025-05-20T16:00:00,2025-06-13T00:00:00,Fixed,"regression,ui",Bug,valid
